date,brand,sales,customers,area_sqm,category,sales_per_customer
2025-09-28,D,31943,418,119,Fashion,76.41866028708134
2025-09-29,H,82949,475,255,Sports,174.62947368421052
2025-09-30,H,5276,269,199,Sports,19.613382899628252
2025-10-01,G,56151,114,295,Sports,492.55263157894734
2025-10-02,C,22611,404,55,Fashion,55.96782178217822
2025-10-03,A,109641,281,75,Luxury,390.1814946619217
2025-10-04,A,16944,377,216,Luxury,44.94429708222812
2025-10-05,C,57887,492,189,Fashion,117.65650406504065
2025-10-06,F,86442,101,148,Food,855.8613861386139
2025-10-07,G,54847,423,191,Sports,129.66193853427896
2025-10-08,F,63653,480,71,Food,132.61041666666668
2025-10-09,F,91072,425,100,Food,214.2870588235294
2025-10-10,F,61622,312,200,Food,197.50641025641025
2025-10-11,C,32810,316,225,Fashion,103.82911392405063
2025-10-12,F,82842,408,248,Food,203.0441176470588
2025-10-13,H,15503,366,153,Sports,42.35792349726776
2025-10-14,B,89761,373,227,Luxury,240.64611260053618
2025-10-15,E,41976,458,138,Food,91.65065502183405
2025-10-16,A,16590,445,190,Luxury,37.28089887640449
2025-10-17,A,15886,203,262,Luxury,78.25615763546799
2025-10-18,E,17866,407,282,Food,43.896805896805894
2025-10-19,C,71624,415,187,Fashion,172.5879518072289
2025-10-20,D,73899,189,294,Fashion,391.0
2025-10-21,C,37792,476,232,Fashion,79.39495798319328
2025-10-22,A,14764,100,58,Luxury,147.64
2025-10-23,A,91156,166,128,Luxury,549.1325301204819
2025-10-24,E,47727,470,101,Food,101.5468085106383
2025-10-25,F,83471,95,179,Food,878.6421052631579
2025-10-26,C,13068,358,202,Fashion,36.502793296089386
2025-10-27,I,12295,137,62,Living,89.74452554744525
2025-10-28,E,46160,257,275,Food,179.61089494163423
2025-10-29,H,16390,426,100,Sports,38.47417840375587
2025-10-30,A,111752,318,235,Luxury,351.42138364779873
2025-10-31,E,25131,138,83,Food,182.1086956521739
2025-11-01,C,99754,430,84,Fashion,231.9860465116279
2025-11-02,A,80969,167,279,Luxury,484.8443113772455
2025-11-03,D,20038,103,180,Fashion,194.54368932038835
2025-11-04,E,57327,490,283,Food,116.9938775510204
2025-11-05,G,98718,165,169,Sports,598.290909090909
2025-11-06,A,82064,167,236,Luxury,491.4011976047904
2025-11-07,C,26281,309,119,Fashion,85.05177993527508
2025-11-08,B,59189,124,296,Luxury,477.3306451612903
2025-11-09,I,53511,354,225,Living,151.16101694915255
2025-11-10,J,13605,56,241,Kids,242.94642857142858
2025-11-11,F,105318,415,290,Food,253.77831325301204
2025-11-12,J,6381,171,196,Kids,37.31578947368421
2025-11-13,C,71634,60,116,Fashion,1193.9
2025-11-14,H,24810,397,259,Sports,62.49370277078086
2025-11-15,H,29322,487,152,Sports,60.209445585215605
2025-11-16,B,46869,264,122,Luxury,177.5340909090909
2025-11-17,F,37955,478,165,Food,79.40376569037657
2025-11-18,G,66388,328,253,Sports,202.40243902439025
2025-11-19,B,115252,77,182,Luxury,1496.7792207792209
2025-11-20,J,15207,284,116,Kids,53.54577464788732
2025-11-21,B,92329,416,188,Luxury,221.94471153846155
2025-11-22,J,72628,362,170,Kids,200.62983425414365
2025-11-23,A,33220,75,143,Luxury,442.93333333333334
2025-11-24,H,89050,458,245,Sports,194.43231441048036
2025-11-25,A,108546,103,246,Luxury,1053.8446601941748
2025-11-26,I,79085,78,178,Living,1013.9102564102565
2025-11-27,F,27031,402,140,Food,67.2412935323383
2025-11-28,G,75721,213,141,Sports,355.4976525821596
2025-11-29,J,85807,319,112,Kids,268.98746081504703
2025-11-30,G,76312,383,78,Sports,199.24804177545693
2025-12-01,J,64766,84,259,Kids,771.0238095238095
2025-12-02,C,17449,335,61,Fashion,52.0865671641791
2025-12-03,B,94833,397,126,Luxury,238.87405541561714
2025-12-04,I,61699,322,90,Living,191.61180124223603
2025-12-05,H,111127,257,179,Sports,432.40077821011675
2025-12-06,J,86253,287,86,Kids,300.5331010452962
2025-12-07,G,110659,463,222,Sports,239.00431965442763
2025-12-08,I,109769,142,257,Living,773.0211267605633
2025-12-09,D,116041,222,225,Fashion,522.7072072072073
2025-12-10,D,51092,128,73,Fashion,399.15625
2025-12-11,A,68671,159,148,Luxury,431.8930817610063
2025-12-12,H,15350,266,199,Sports,57.70676691729323
2025-12-13,C,101158,484,149,Fashion,209.00413223140495
2025-12-14,G,105859,407,188,Sports,260.0958230958231
2025-12-15,B,73487,155,296,Luxury,474.10967741935485
2025-12-16,B,22622,96,107,Luxury,235.64583333333334
2025-12-17,G,75263,230,223,Sports,327.2304347826087
2025-12-18,F,58117,113,78,Food,514.3097345132743
2025-12-19,C,108990,295,212,Fashion,369.45762711864404
2025-12-20,I,63394,293,289,Living,216.36177474402731
2025-12-21,J,107005,471,295,Kids,227.1868365180467
2025-12-22,F,106084,369,192,Food,287.49051490514904
2025-12-23,J,28782,136,109,Kids,211.63235294117646
2025-12-24,J,33454,266,144,Kids,125.76691729323308
2025-12-25,F,72904,56,91,Food,1301.857142857143
2025-12-26,A,20592,327,282,Luxury,62.972477064220186
2025-12-27,D,27173,386,92,Fashion,70.39637305699482
2025-12-28,J,38204,259,257,Kids,147.5057915057915
2025-12-29,F,40596,218,123,Food,186.22018348623854
2025-12-30,F,39324,379,226,Food,103.75725593667546
2025-12-31,E,116668,187,241,Food,623.8930481283422
2026-01-01,A,66202,490,209,Luxury,135.1061224489796
2026-01-02,H,94400,440,113,Sports,214.54545454545453
2026-01-03,E,118365,430,292,Food,275.2674418604651
2026-01-04,E,35750,355,51,Food,100.70422535211267
2026-01-05,G,81112,279,201,Sports,290.72401433691755
2026-01-06,D,21566,357,264,Fashion,60.40896358543417
2026-01-07,F,12190,210,115,Food,58.04761904761905
2026-01-08,D,93607,50,215,Fashion,1872.14
2026-01-09,C,43333,285,80,Fashion,152.0456140350877
2026-01-10,G,85905,486,164,Sports,176.75925925925927
2026-01-11,H,94571,237,281,Sports,399.0337552742616
2026-01-12,D,6589,467,75,Fashion,14.109207708779444
2026-01-13,B,30235,53,78,Luxury,570.4716981132076
2026-01-14,J,5159,450,244,Kids,11.464444444444444
2026-01-15,C,17145,181,299,Fashion,94.72375690607734
2026-01-16,A,85909,476,127,Luxury,180.4810924369748
2026-01-17,H,36921,267,74,Sports,138.2808988764045
2026-01-18,C,109859,309,97,Fashion,355.53074433656957
2026-01-19,J,21237,50,114,Kids,424.74
2026-01-20,G,112507,120,230,Sports,937.5583333333333
2026-01-21,J,13244,227,116,Kids,58.34361233480176
2026-01-22,E,19743,238,295,Food,82.95378151260505
2026-01-23,J,102102,340,139,Kids,300.3
2026-01-24,E,51101,57,195,Food,896.5087719298245
2026-01-25,G,116645,302,186,Sports,386.2417218543046
2026-01-26,I,89227,457,87,Living,195.24507658643327
2026-01-27,E,104532,341,136,Food,306.54545454545456
2026-01-28,A,61378,483,198,Luxury,127.07660455486543
2026-01-29,J,76126,293,298,Kids,259.81569965870307
2026-01-30,J,61071,172,114,Kids,355.0639534883721
2026-01-31,A,76121,348,198,Luxury,218.73850574712642
2026-02-01,B,79763,332,76,Luxury,240.25
2026-02-02,F,98814,81,155,Food,1219.9259259259259
2026-02-03,I,109350,383,172,Living,285.50913838120107
2026-02-04,H,17237,426,247,Sports,40.46244131455399
2026-02-05,E,20649,195,296,Food,105.8923076923077
2026-02-06,A,42713,205,93,Luxury,208.3560975609756
2026-02-07,G,78463,462,149,Sports,169.83333333333334
2026-02-08,E,50409,65,77,Food,775.5230769230769
2026-02-09,F,53766,404,222,Food,133.08415841584159
2026-02-10,G,51154,96,66,Sports,532.8541666666666
2026-02-11,C,12016,300,176,Fashion,40.053333333333335
2026-02-12,J,84563,236,172,Kids,358.31779661016947
2026-02-13,C,53688,80,217,Fashion,671.1
2026-02-14,E,94678,309,299,Food,306.4012944983819
2026-02-15,F,117056,470,293,Food,249.05531914893618
2026-02-16,I,59238,66,180,Living,897.5454545454545
2026-02-17,E,63608,88,125,Food,722.8181818181819
2026-02-18,A,94081,353,280,Luxury,266.5184135977337
2026-02-19,D,36897,479,253,Fashion,77.02922755741128
2026-02-20,E,55961,481,243,Food,116.34303534303534
2026-02-21,J,73703,88,297,Kids,837.5340909090909
2026-02-22,J,49757,181,95,Kids,274.90055248618785
2026-02-23,E,31917,79,263,Food,404.0126582278481
2026-02-24,G,27736,207,264,Sports,133.9903381642512
2026-02-25,D,32990,327,207,Fashion,100.8868501529052
2026-02-26,A,67551,252,118,Luxury,268.0595238095238
2026-02-27,E,63161,115,186,Food,549.2260869565217
2026-02-28,G,84623,157,134,Sports,539.0
2026-03-01,J,27440,317,60,Kids,86.5615141955836
2026-03-02,J,40205,271,118,Kids,148.3579335793358
2026-03-03,F,85811,341,148,Food,251.6451612903226
2026-03-04,E,60103,67,140,Food,897.0597014925373
2026-03-05,D,75812,139,290,Fashion,545.410071942446
2026-03-06,B,46627,230,243,Luxury,202.72608695652173
2026-03-07,D,111122,304,265,Fashion,365.5328947368421
2026-03-08,J,108032,302,208,Kids,357.72185430463577
2026-03-09,J,24008,306,210,Kids,78.45751633986929
2026-03-10,C,76274,432,216,Fashion,176.5601851851852
2026-03-11,J,37402,491,143,Kids,76.17515274949083
2026-03-12,A,58384,395,223,Luxury,147.80759493670885
2026-03-13,H,10793,136,214,Sports,79.36029411764706
2026-03-14,E,107827,139,164,Food,775.7338129496403
2026-03-15,D,10571,286,269,Fashion,36.96153846153846
2026-03-16,H,101867,439,237,Sports,232.04328018223234
2026-03-17,G,21209,119,80,Sports,178.2268907563025
2026-03-18,B,118550,93,60,Luxury,1274.731182795699
2026-03-19,A,95930,249,136,Luxury,385.26104417670683
2026-03-20,D,48148,201,170,Fashion,239.54228855721394
2026-03-21,H,96218,135,179,Sports,712.7259259259259
2026-03-22,B,7224,68,281,Luxury,106.23529411764706
2026-03-23,C,111693,150,154,Fashion,744.62
2026-03-24,A,53695,451,76,Luxury,119.05764966740577
2026-03-25,A,114988,144,276,Luxury,798.5277777777778
2026-03-26,C,113944,303,51,Fashion,376.05280528052805
2026-03-27,E,37441,406,152,Food,92.2192118226601
2026-03-28,C,111966,79,150,Fashion,1417.2911392405063
2026-03-29,A,44129,298,70,Luxury,148.08389261744966
2026-03-30,A,105252,475,107,Luxury,221.58315789473684
2026-03-31,H,67368,82,182,Sports,821.560975609756
2026-04-01,J,115395,278,229,Kids,415.08992805755395
2026-04-02,B,97122,61,222,Luxury,1592.1639344262296
2026-04-03,C,49760,167,134,Fashion,297.96407185628743
2026-04-04,B,28478,399,142,Luxury,71.3734335839599
2026-04-05,C,76854,204,69,Fashion,376.7352941176471
2026-04-06,G,99230,472,110,Sports,210.23305084745763
2026-04-07,A,90716,442,87,Luxury,205.2398190045249
2026-04-08,J,17180,295,197,Kids,58.23728813559322
2026-04-09,H,103538,454,291,Sports,228.05726872246697
2026-04-10,J,20372,381,74,Kids,53.46981627296588
2026-04-11,J,34796,296,179,Kids,117.55405405405405
2026-04-12,J,63272,78,170,Kids,811.1794871794872
2026-04-13,B,94963,210,209,Luxury,452.2047619047619
2026-04-14,C,103826,284,75,Fashion,365.5845070422535
2026-04-15,I,98635,239,247,Living,412.69874476987445
2026-04-16,G,116022,166,218,Sports,698.9277108433735
2026-04-17,D,59040,320,298,Fashion,184.5
2026-04-18,J,80357,307,116,Kids,261.74918566775244
2026-04-19,E,76368,229,274,Food,333.48471615720524
2026-04-20,B,83356,422,50,Luxury,197.5260663507109
2026-04-21,H,21211,221,100,Sports,95.97737556561086
2026-04-22,D,110426,487,54,Fashion,226.74743326488706
2026-04-23,I,10842,323,62,Living,33.56656346749226
2026-04-24,E,68115,308,196,Food,221.1525974025974
2026-04-25,I,71852,184,189,Living,390.5
2026-04-26,D,50968,220,97,Fashion,231.6727272727273
2026-04-27,J,22508,259,202,Kids,86.9034749034749
2026-04-28,E,27005,285,106,Food,94.75438596491227
2026-04-29,I,59575,471,164,Living,126.48619957537154
2026-04-30,H,85742,470,84,Sports,182.42978723404255
2026-05-01,C,23971,235,125,Fashion,102.00425531914894
2026-05-02,A,30599,466,143,Luxury,65.66309012875537
2026-05-03,C,92592,413,54,Fashion,224.19370460048427
2026-05-04,D,71914,492,275,Fashion,146.16666666666666
2026-05-05,B,72055,144,71,Luxury,500.38194444444446
2026-05-06,A,92697,427,152,Luxury,217.08899297423886
2026-05-07,G,111239,60,254,Sports,1853.9833333333333
2026-05-08,H,109397,117,234,Sports,935.017094017094
2026-05-09,G,10355,428,224,Sports,24.19392523364486
2026-05-10,E,59120,259,231,Food,228.26254826254825
2026-05-11,A,79619,245,180,Luxury,324.9755102040816
2026-05-12,G,43342,418,173,Sports,103.68899521531101
2026-05-13,G,90992,147,102,Sports,618.9931972789116
